,total
799,0
800,3
801,7
802,5
803,12
804,9
805,2
806,5
807,0
808,2
809,1
810,1
811,3
812,1
813,6
814,0
815,1
816,19
817,14
818,1
819,4
820,1
821,2
822,7
823,0
824,1
825,5
826,0
827,0
828,5
829,4
830,1
831,4
832,14
833,2
834,1
835,8
836,2
837,0
838,5
839,13
840,0
841,6
842,2
843,12
844,5
845,1
846,7
847,5
848,13
849,8
850,1
851,1
852,4
853,3
854,4
855,8
856,0
857,3
858,7
859,3
860,3
861,5
862,0
863,2
864,6
865,1
866,10
867,1
868,0
869,1
870,1
871,0
872,0
873,2
874,0
875,1
876,0
877,0
878,1
879,0
880,2
881,2
882,8
883,15
884,8
885,3
886,4
887,0
888,1
889,2
890,0
891,0
892,1
893,4
894,0
895,2
896,1
897,10
898,7
899,5
900,6
901,2
902,19
903,3
904,18
905,3
906,9
907,9
908,1
909,14
910,4
911,8
912,4
913,1
914,0
915,14
916,11
917,8
918,6
919,5
920,15
921,3
922,7
923,18
924,2
925,5
926,4
927,19
928,5
929,0
930,5
931,6
932,2
933,5
934,9
